GEN,BEZ,Coronavirus Infektionen / Coronavirus Cases,Main Source / Hauptquelle,Crowdsourced Infektionen,Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) (Man kann =JETZT() oder =NOW() benutzen",Unnamed: 10,Contributor,Crowdsourced Infektionen.1,Zeit,Main Source / Hauptquelle.1,Contributor.1,Crowdsourced Infektionen.2,Zeit.1,Main Source / Hauptquelle.2,Contributor.2
Oberspreewald-Lausitz,Landkreis,5,http://www.osl-online.de/news/index.php?rubrik=1,5,,,,,,,,,,,,,,,
Odenwaldkreis,Landkreis,7,https://www.odenwaldkreis.de/index.php?id=195&tx_news_pi1%5Bnews%5D=2191&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=b0b9d51ec2c8419190d90b958dd40c06,8,,,,,18/03/2020 14:00,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,@_MitschiBoy_,,,,,,,,
Oder-Spree,Landkreis,14,https://www.landkreis-oder-spree.de/Service-Aktuelles/Aktuelles/Coronavirus,14,,,,,,,,,,,,,,,
Offenbach,Landkreis,23,"https://www.kreis-offenbach.de/Themen/Gesundheit-Verbraucher-schutz/akut/Corona/Kreisverwaltung-schlie%C3%9Ft-f%C3%BCr-das-Publikum-komplett.php?object=tx,2896.5&ModID=7&FID=2896.8447.1&NavID=2896.1061&La=1",26,,,,,18/03/2020 14:00,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,@_MitschiBoy_,,,,,,,,
Offenbach am Main,Kreisfreie Stadt,5,https://www.offenbach.de/leben-in-of/gesundheit/dir-6/coronavirus.php#c0,54,,,,,,,,,,,,,,,
Oldenburg,Landkreis,8,https://www.oldenburg-kreis.de/portal/startseite.html,8,,,,,,,,,,,,,,,
Oldenburg (Oldb),Kreisfreie Stadt,25,https://www.oldenburg.de/startseite/leben-umwelt/soziales/gesundheitsamt/coronavirus/corona-aktuelle-lage-in-oldenburg.html,26,,,,,,,,,,,,,,,
Olpe,Kreis,14,"https://www.kreis-olpe.de/Quicknavigation/Startseite/Corona-Virus-%C3%9Cbersicht.php?object=tx,3123.5&ModID=7&FID=3125.1097.1",14,,,,,,,,,,,,,,,
Ortenaukreis,Landkreis,49,https://www.ortenaukreis.de/media/custom/2390_5025_1.PDF?1584455070,69,,,,1.0,18.03.2020 ,https://www.ortenaukreis.de/media/custom/2390_5025_1.PDF?1584455070,,,,,,,,,
Osnabrück,Kreisfreie Stadt,54,https://www.landkreis-osnabrueck.de/veterinaer-gesundheit/infektionsschutz/covid-19,123,,522.0,,,18/03/2020 13:45,https://www.landkreis-osnabrueck.de/sites/default/files/pdf_dateien/2020-03-18_dashboard_corona_1200.pdf,@JohannesBrand98,,,,,,,,
